Geneid	dmso_24h_n_1	dmso_24h_n_2	dmso_24h_n_3	thapsigargin_6h_n_1	thapsigargin_6h_n_2	thapsigargin_6h_n_3	thapsigargin_24h_n_1	thapsigargin_24h_n_2	thapsigargin_24h_n_3
Cars2	589	444	463	743	280	284	989	683	759
Ing1	1239	1415	1417	1327	439	783	1271	1091	1435
Ankrd10	3736	2954	3450	5071	1548	2245	8329	5721	5694
Mir7238	0	0	0	0	0	0	0	0	0
1700016D06Rik	0	2	4	0	21	0	8	0	0
Gm6524	0	4	2	0	10	19	0	0	1
Arhgef7	4220	4260	4135	3426	1242	2217	3967	3022	3915
Tex29	9	5	9	4	30	13	16	0	6
Gm5607	0	0	1	10	36	33	0	0	0
Sox1	0	3	0	0	46	2	10	0	0
Spaca7	0	0	0	0	17	15	0	0	0
Tubgcp3	4044	3299	3543	4489	1462	2271	4045	3251	4027
Gm15348	0	0	0	0	36	0	17	16	0
Atp11a	4584	4142	4644	4030	1270	2096	6872	4980	6062
Gm15350	0	0	0	5	8	0	0	0	0
Mcf2l	6626	6579	6663	4122	1784	2479	3866	3277	3919
Gm38671	23	41	41	37	8	16	24	10	26
F7	11	3	8	18	35	45	19	13	5
F10	9	5	0	0	33	0	4	12	3
Proz	9	2	4	1	43	43	22	4	10
Pcid2	1408	1339	1457	1259	481	702	1502	1227	1536
Cul4a	3898	3707	3689	3747	1431	2027	4305	3315	4204
Mir7065	0	0	0	0	0	0	0	5	0
Lamp1	20057	20329	18861	10342	3732	6770	19032	14381	20689
Grtp1	353	397	400	356	140	188	411	325	324
Mir1968	10	13	12	5	0	18	7	7	5
Adprhl1	0	0	3	5	23	0	7	10	1
Dcun1d2	968	915	890	971	336	587	1004	762	979
Tmco3	2964	3190	3013	2132	806	1360	2271	1878	2299
Tfdp1	7334	6808	6200	6894	2136	3967	7959	6837	8046
Atp4b	0	1	0	2	42	10	2	8	0
Grk1	0	1	1	0	38	32	26	13	5
Tmem255b	0	2	0	0	43	24	7	4	1
Gas6	31	49	40	13	63	20	36	5	29
1700029H14Rik	19	7	4	2	19	31	4	1	3
Rasa3	2471	2650	2429	2413	798	1542	1397	1089	1224
4932443I19Rik	0	0	11	0	18	15	0	10	0
Cdc16	3947	3431	3591	3322	1129	1972	3492	2828	3276
Upf3a	878	683	639	936	369	538	1044	1033	1106
AF366264	0	0	1	4	23	0	6	0	0
Champ1	2040	1904	2101	2288	696	1184	2239	2125	2453
Coprs	437	498	424	326	175	199	438	369	441
Fbxo25	1003	959	892	983	355	381	890	624	982
Tdrp	345	239	278	293	112	238	452	385	538
Gm5907	0	0	0	0	30	30	0	0	0
Erich1	443	396	407	353	165	268	455	373	546
Dlgap2	292	281	315	182	117	232	21	53	43
Cln8	943	967	889	1362	441	611	1486	1281	1759
Arhgef10	554	485	507	416	201	375	642	448	632
Kbtbd11	831	827	833	289	204	239	249	243	347
BB014433	0	1	0	3	5	27	4	0	0
Myom2	11	14	14	17	97	44	55	116	69
Csmd1	0	9	9	21	143	117	30	16	6
Mir3106	0	0	0	0	3	0	0	0	0
Mcph1	1283	1205	1087	1415	544	926	1599	1114	1527
Angpt2	17	24	23	0	45	19	12	18	6
Agpat5	3201	3160	3031	2234	763	1042	3100	2542	3182
Xkr5	294	234	200	135	75	169	186	180	128
Defb40	0	0	0	0	3	0	0	0	0
Defb37	0	0	0	1	1	0	0	0	0
Defb38	0	0	0	0	0	0	0	0	0
Defb39	0	0	0	2	0	0	0	0	0
Defb12	0	0	0	0	7	0	0	0	0
Defb34	0	0	0	0	1	0	0	0	0
Spag11b	0	0	2	0	3	0	0	0	0
Spag11a	0	0	0	0	2	4	0	0	0
Defb14	0	0	0	0	3	2	0	0	0
Defb4	0	0	0	0	2	0	0	0	0
Defa-ps12	0	0	0	0	1	0	0	0	0
Defb6	0	0	0	0	0	0	0	0	0
Defb46	0	0	0	0	0	0	0	0	0
Defb5	0	0	0	0	3	0	0	0	0
Defb3	0	0	0	0	0	2	0	0	0
Defa-ps13	0	0	0	0	5	22	0	0	0
Defb8	0	0	0	0	0	0	2	0	0
Defb7	0	0	0	0	0	0	0	0	0
Gm21119	4	0	0	5	2	0	0	3	4
4930467E23Rik	0	0	0	0	2	0	0	0	5
6820431F20Rik	787	538	689	1285	397	862	1319	1033	1183
Gm15319	0	2	0	1	2	0	0	0	0
2610005L07Rik	969	689	828	1454	457	754	1262	1250	1234
Gm21944	0	0	0	0	3	0	0	0	0
Defb33	0	0	0	0	0	25	0	0	0
Gm15056	0	0	0	0	0	0	0	0	0
Gm6040	0	0	0	1	1	0	0	0	0
AY761185	0	0	0	0	6	0	0	0	0
Defa21	0	0	0	0	0	0	0	0	0
Defa23	0	0	0	0	0	0	0	0	0
Defa-rs7	0	0	0	0	0	0	0	0	0
Gm10104	0	0	0	0	1	0	0	0	0
Defa4	0	0	0	0	0	0	0	0	0
Defa25	0	0	0	0	0	0	0	0	0
Gm14851	0	0	0	0	0	21	0	6	0
Gm15284	0	0	0	0	0	0	0	0	0
Defa22	0	0	0	0	2	0	0	0	0
Gm15293	0	0	0	0	0	0	0	0	0
Gm15292	0	0	0	0	0	5	0	0	0
Defa3	0	0	0	0	1	0	0	0	0
Defa5	0	0	0	0	0	0	0	0	0
Gm15299	0	0	0	0	0	0	0	0	0
Defa-rs1	0	0	0	0	2	0	0	0	0
Defa2	0	0	0	0	0	0	0	0	0
Gm21002	0	0	0	0	0	0	0	0	0
Gm21498	0	0	0	0	0	0	0	0	0
Gm14850	0	0	0	0	0	0	0	0	0
Gm7849	0	0	0	0	0	0	0	0	0
Gm7861	0	0	0	0	0	0	0	0	0
Defa20	0	0	0	0	0	0	0	0	0
Gm15308	0	0	0	0	0	0	0	0	0
Gm6696	0	0	0	0	0	0	0	0	0
Defa26	0	0	0	0	3	0	0	0	0
Defa17	0	0	0	0	0	0	0	0	0
Gm15315	0	0	0	2	5	0	2	0	0
Defa-ps1	0	0	0	0	8	0	0	0	0
AY761184	0	0	0	0	8	0	0	0	0
Defa24	0	0	0	0	0	0	2	0	0
Defa6	0	0	0	0	0	0	0	0	0
Defb1	8	22	16	12	29	1	6	5	1
Defb50	0	0	0	0	1	0	0	0	1
Defb2	0	0	0	0	0	0	0	0	0
Defb10	0	0	0	0	5	0	0	0	0
Defb9	0	0	0	5	5	1	0	0	0
Defb11	0	0	1	0	1	0	0	0	0
Defb15	0	0	0	0	5	0	0	0	0
Defb35	7	0	2	0	0	0	0	0	1
Defb13	2	0	0	0	3	0	4	8	0
Fam90a1a	4	0	0	0	10	14	0	5	0
Ccdc70	0	0	0	8	4	0	1	0	0
Atp7b	877	877	865	431	257	330	378	281	439
Alg11	2762	2524	2309	2381	877	1268	3569	3106	3866
Nek5	13	19	3	17	15	31	11	0	7
Nek3	317	201	253	168	67	1	244	144	194
Ckap2	3736	3273	3326	2911	1005	1588	2010	1693	1799
Vps36	1027	1065	1076	909	299	676	1445	1225	1466
Thsd1	25	29	18	43	36	0	51	46	35
Tpte	0	1	1	0	20	35	0	0	0
Slc25a15	687	790	762	579	219	384	612	490	772
1810012K16Rik	27	30	29	7	19	13	27	29	33
Mrps31	815	757	717	816	276	513	882	579	850
Smim19	662	614	617	691	260	499	866	581	948
Slc20a2	1233	1250	1047	1090	452	492	1292	1089	1329
Vdac3	3177	3176	3011	3893	1511	2479	5320	4177	5653
Dkk4	0	0	0	0	26	0	5	0	0
Polb	1032	847	767	1083	349	737	1178	995	1073
A930013F10Rik	334	116	209	292	63	69	382	164	200
Ikbkb	1448	1224	1299	1407	557	954	1786	1376	1690
Plat	702	688	702	526	216	326	464	369	557
Ap3m2	808	764	855	756	309	408	707	563	765
Kat6a	7647	7225	7337	7933	2414	3681	8260	6572	7617
Ank1	241	237	252	352	312	401	587	536	492
Gm15816	7	18	21	8	47	41	12	13	8
Mir486	5	0	3	0	4	0	0	0	0
Mir3107	0	0	0	0	5	0	0	0	0
Nkx6-3	5	5	9	0	33	0	8	4	1
Agpat6	3376	3180	2933	3177	1034	1795	3595	3056	4060
Gins4	1457	1395	1326	1437	449	1085	1366	1076	1362
Golga7	2849	2759	2767	2444	854	1450	3052	2429	3162
Sfrp1	0	5	2	1	53	20	16	18	3
Zmat4	0	3	3	0	10	16	2	9	7
1810011O10Rik	146	232	139	136	46	133	44	41	52
Ido2	0	0	0	1	33	49	4	0	2
Ido1	7	3	1	0	17	14	1	0	0
Adam18	3	0	0	2	21	41	3	3	0
Adam3	0	0	2	2	24	37	5	2	0
Adam5	19	59	53	29	28	20	44	28	23
Adam32	157	121	152	53	28	146	62	56	40
Adam9	9781	9825	10466	6145	2162	4016	6775	5598	6895
Tm2d2	2373	2760	2400	1970	749	1583	2009	1565	2191
Htra4	59	99	89	30	37	74	36	3	18
Plekha2	4569	4832	5040	3083	1164	2281	2963	2552	3005
Tacc1	6606	6212	6350	5634	2111	3500	6720	5331	6149
Mir8108	0	0	0	0	0	0	0	0	0
5430421F17Rik	3	2	15	0	18	0	21	0	9
Fgfr1	1336	1235	1150	1021	457	831	1236	1014	1190
Gm16159	0	0	0	0	21	0	0	0	0
Letm2	334	198	275	405	168	262	277	252	343
Whsc1l1	10522	8630	9469	11968	3594	6606	11011	8365	9803
Ppapdc1b	2668	1906	1895	3009	939	1929	4762	4016	4658
Ddhd2	2739	2210	2597	2086	762	1323	2626	2195	2438
Bag4	2820	3025	2964	2414	861	1280	1954	1680	2180
Lsm1	556	474	438	524	169	377	573	550	572
Star	62	67	147	120	58	132	121	100	105
Ash2l	3120	3276	3063	3377	1274	1818	3597	3035	3766
Kcnu1	261	239	203	156	86	160	299	176	251
Hgsnat	2072	1964	2020	1027	460	572	1826	1319	1821
Pomk	926	997	912	556	239	456	760	504	841
Fnta	1694	1786	1690	2151	680	1230	2426	1893	2429
Hook3	5571	5638	5516	5870	2105	3142	5408	4335	4574
1700047A11Rik	0	0	0	0	5	0	0	0	0
Rnf170	1808	1376	1570	1327	466	735	1682	1406	1742
Thap1	643	558	581	920	296	667	774	711	967
2310008N11Rik	0	0	0	0	2	0	0	0	3
Zfp703	646	732	633	832	380	638	669	621	789
Erlin2	4246	4428	3930	2534	923	1773	4084	3486	4549
Prosc	2623	2056	2334	3261	903	1568	3186	2525	2811
Adgra3	431	423	361	481	293	274	601	496	564
Brf2	281	386	360	475	177	411	535	318	433
Rab11fip1	1251	1017	1222	1357	554	724	1729	1440	1702
4933416M07Rik	0	0	0	0	15	16	4	0	0
Got1l1	0	0	1	0	16	0	0	0	1
Adrb3	0	0	1	4	44	1	21	0	1
Eif4ebp1	396	358	293	2808	938	1825	2120	1888	2392
Gm9731	0	5	0	2	5	17	0	0	0
Tex24	0	0	0	1	3	0	5	0	1
Chrnb3	1	0	3	0	30	2	2	0	0
Chrna6	0	0	0	4	24	7	0	0	1
Poteg	10	0	0	0	32	9	2	0	4
Gm8096	0	3	0	0	19	0	0	0	0
Unc5d	242	399	268	234	187	169	132	170	140
4933433F19Rik	0	0	0	0	0	0	0	0	0
Dusp26	0	6	4	0	38	13	6	12	9
Rnf122	80	76	69	39	68	35	41	90	86
Tti2	1461	1136	1329	1548	585	661	1582	1213	1338
Mak16	1588	1521	1360	1861	697	1182	2179	1707	2144
Fut10	696	828	779	461	196	323	587	495	618
7420700N18Rik	15	9	5	3	8	0	5	0	2
Nrg1	55	43	39	35	32	11	30	1	14
Gm8179	0	0	0	0	2	2	0	0	0
Gm3985	0	0	4	9	15	0	16	3	5
Wrn	3129	2739	2784	2385	892	1218	2186	1523	2070
Purg	638	514	616	541	199	430	538	511	522
Hmgb1-rs17	1	0	0	1	4	0	4	0	0
Tex15	957	877	925	822	323	500	813	523	573
Ppp2cb	2033	2139	1830	1970	673	1046	2504	2254	2737
Ubxn8	854	989	820	830	314	491	1268	961	1162
Gsr	3085	3371	2718	2126	728	1369	3527	2591	3559
Gtf2e2	1163	1059	1065	937	329	498	890	644	943
Smim18	172	122	135	109	53	108	147	87	137
Rbpms	1444	1069	954	1068	271	505	884	572	736
Dctn6	1343	1534	1372	1257	476	719	1664	1247	1550
Mboat4	0	6	6	8	31	0	1	0	4
Leprotl1	4301	4300	4288	7641	2705	4991	10141	8179	10375
Saraf	9308	9903	8631	11750	4355	7210	16904	14456	17894
Mir6395	0	0	0	0	0	9	2	0	0
B930018H19Rik	33	30	39	25	29	48	30	13	18
Dusp4	2095	1832	1950	3074	955	2029	2045	1553	2027
Tnks	6487	6570	6372	7253	2441	4417	9039	7127	8203
Ppp1r3b	126	73	82	60	53	36	129	62	85
Eri1	3961	3915	3698	4804	1443	2804	3343	2747	3461
Gm16793	2	0	0	0	7	0	5	0	1
Mfhas1	544	665	598	506	256	349	776	469	741
Cldn23	15	32	50	30	31	17	44	11	41
5430403N17Rik	1	0	0	5	18	0	5	0	0
D8Ertd82e	77	141	122	135	108	184	221	244	248
Lonrf1	516	458	418	1115	303	761	876	738	1016
6430573F11Rik	0	0	3	0	14	38	3	0	2
Dlc1	17	4	30	6	110	34	26	16	5
G630064G18Rik	9	3	0	0	8	11	0	0	0
AI429214	123	155	129	150	58	82	120	120	125
Sgcz	516	307	428	376	112	110	320	293	236
Mir383	5	1	1	1	0	0	4	0	2
Tusc3	3699	3914	3381	2458	878	1513	2921	2077	2671
Gm6213	0	0	0	3	2	0	0	0	0
Mir669e	0	0	0	0	5	0	0	0	1
Msr1	1	0	0	1	5	19	2	1	2
Fgf20	0	4	0	0	11	0	0	0	0
Mir7666	12	38	13	12	7	0	19	6	26
Micu3	2109	1752	1971	2690	801	1235	1930	1544	2057
Zdhhc2	12704	12278	11122	6566	2301	3871	7563	5775	7558
Cnot7	7227	6638	6799	5876	2189	3806	6421	5200	7088
Vps37a	6195	4595	5241	6347	1996	3381	6380	4475	5432
Mtmr7	6490	6545	6180	4077	1373	2357	3511	3068	3645
Adam24	0	1	0	2	3	9	2	0	1
Adam25	1	0	3	3	5	0	2	0	0
Adam20	0	0	1	0	6	0	1	0	0
Adam39	0	0	0	0	7	0	0	0	0
Slc7a2	30309	30736	28926	16663	6082	10923	8728	6673	8216
Pdgfrl	96	92	114	27	36	67	26	19	53
Mtus1	1151	1030	1024	1178	465	595	1259	1078	1259
B430010I23Rik	4	2	3	0	11	0	0	0	2
Fgl1	6	2	5	0	21	2	1	0	5
Pcm1	11401	9810	10327	11598	3645	6303	12034	9237	10797
Asah1	9595	8168	7915	6808	2241	3656	7853	5645	7625
Frg1	814	900	839	828	322	608	963	838	987
2810404M03Rik	0	0	2	0	1	0	0	0	0
Triml1	0	0	1	2	9	25	0	0	0
Triml2	0	2	2	0	16	0	0	0	4
Zfp42	0	0	0	3	11	12	6	6	0
Adam26b	1	0	0	0	7	31	0	0	0
Adam26a	0	0	0	0	0	0	0	0	0
Gm5346	0	0	0	1	0	0	0	0	0
Adam34	0	0	0	0	1	0	3	8	0
Gm5347	0	0	0	0	2	0	0	0	0
Fat1	7121	7550	6680	5253	1834	2852	8503	6270	6291
AY512931	0	0	1	0	23	0	2	0	0
Mtnr1a	0	0	0	3	9	0	2	0	0
Gm6329	0	0	1	0	10	24	0	0	1
F11	0	2	0	0	29	0	0	8	3
Klkb1	0	0	0	1	20	25	0	3	1
Cyp4v3	55	97	120	72	55	125	114	140	159
Fam149a	475	324	446	261	129	242	233	227	321
Tlr3	231	203	222	91	58	131	127	97	115
Sorbs2	63303	55580	56021	39523	12639	22128	26215	17911	23018
Sorbs2os	2	1	1	5	6	0	0	0	5
Pdlim3	0	1	1	4	14	0	10	0	1
Ccdc110	9	6	11	1	13	0	5	14	10
1700029J07Rik	158	73	127	143	45	55	268	185	174
Ufsp2	2655	2620	2542	2425	870	1255	2866	2328	2751
Ankrd37	140	174	220	136	68	47	119	76	104
Lrp2bp	133	131	105	80	47	60	60	47	60
Snx25	2531	2491	2594	2069	705	1122	1711	1611	1816
Cfap97	2247	2239	2312	2117	684	1417	2269	1745	2185
Slc25a4	6435	7357	6243	3728	1453	2007	4263	3609	4966
Helt	0	0	0	4	30	0	0	0	0
Acsl1	1113	1165	1199	1081	450	781	983	1017	1116
Cenpu	605	488	397	685	237	349	515	499	479
Primpol	883	610	760	1352	358	828	1205	886	1153
Casp3	2709	3109	3015	2851	1069	1717	2958	2676	3469
Gm16675	83	69	76	56	52	96	100	65	70
Irf2	1778	1806	1730	1736	562	1051	1270	1151	1697
Enpp6	14	0	0	1	9	25	1	0	0
Stox2	3743	3711	3937	3085	1125	2074	3047	2657	2902
Trappc11	5049	4922	4891	5555	1857	3080	5797	4501	5676
Rwdd4a	2853	2694	2948	3606	1380	2420	3893	3631	4347
Ing2	1542	1525	1462	1882	609	1181	1398	1208	1316
Cdkn2aip	1606	1472	1576	2966	857	1803	2619	2429	3026
Cldn24	0	0	0	0	0	0	0	2	0
Cldn22	0	3	0	0	12	0	0	0	0
Wwc2	216	269	243	240	164	222	349	298	381
Dctd	0	20	14	2	35	22	28	3	26
Tenm3	9529	10503	9747	6101	2414	3584	6303	4986	5456
Gm2516	0	0	0	0	0	0	0	0	0
Aga	1708	1779	1548	1121	426	774	1718	1058	1646
Neil3	2741	1695	2427	2418	725	1252	1295	1054	1011
Vegfc	138	105	87	101	60	98	111	58	148
Spcs3	11513	11104	9578	9690	3439	6109	16945	13784	17527
Asb5	17	22	13	26	16	14	25	58	22
Spata4	0	1	0	5	8	0	1	0	0
Wdr17	337	302	314	291	130	112	318	243	322
Gpm6a	6	2	3	0	22	10	4	8	4
Adam29	0	0	0	3	0	0	0	0	0
Glra3	9	7	6	0	7	3	6	0	0
Hpgd	0	0	0	0	10	1	3	18	5
4930518J21Rik	0	0	0	0	2	0	0	1	1
Cep44	545	509	506	614	220	339	671	553	568
Fbxo8	1394	1402	1304	1773	522	1009	1682	1308	1684
LOC102636514	0	0	0	0	8	0	2	0	0
Hand2	0	0	0	9	42	32	11	5	2
5033428I22Rik	0	0	0	0	15	0	0	5	0
Scrg1	0	3	0	0	3	11	0	0	0
Sap30	434	382	405	586	193	340	412	347	444
2500002B13Rik	174	178	146	121	54	19	59	22	62
Hmgb2	7818	7452	6973	5873	2023	3301	5689	4820	5929
Galnt7	388	326	349	339	119	140	604	442	584
AW046200	18	5	11	14	7	14	11	16	9
Galntl6	0	0	0	0	31	0	2	0	0
Gm15881	0	0	0	0	16	10	0	0	0
BC030500	4	0	1	4	9	4	0	11	0
4930470O06Rik	0	0	0	0	5	0	0	0	0
Aadat	19	33	45	9	25	26	30	17	19
Mfap3l	937	846	839	669	241	330	803	730	864
2700029M09Rik	1592	1407	1397	1463	510	960	1370	1099	1270
Clcn3	15227	14446	14667	14019	4633	7000	18896	15167	19110
Nek1	1998	1620	1738	2127	734	1059	2565	1669	2116
Sh3rf1	709	870	893	635	288	365	772	706	836
1700001D01Rik	0	0	0	1	11	0	0	5	1
Cbr4	384	321	362	267	90	160	397	304	393
Palld	638	455	513	593	229	353	728	569	594
Ddx60	46	49	93	51	27	72	60	66	75
Anxa10	131	124	132	110	43	121	3575	3167	4171
Spock3	129	105	95	68	33	34	35	37	42
Sgol2b	0	2	3	0	4	22	5	0	5
Tll1	2	13	25	17	24	35	19	3	18
Mir710	0	0	0	0	0	0	0	0	0
Cpe	62920	66956	62589	43735	15289	28290	43857	37131	49751
Msmo1	2193	2205	2275	4029	1411	2371	5334	4190	5045
Klhl2	2402	2147	2118	1738	616	983	1776	1449	1710
Tmem192	887	1049	1001	801	321	637	1146	978	1051
Trim75	0	0	1	0	14	27	3	0	0
Trim60	4	2	0	4	10	47	0	0	0
Trim61	0	0	0	2	15	19	0	0	0
Apela	0	7	13	11	16	0	2	19	5
BC030870	142	135	95	106	33	68	12	12	21
March1	0	2	2	5	31	18	21	13	24
Tma16	207	146	198	460	130	212	527	437	495
Tktl2	0	1	0	1	65	17	4	0	1
Npy5r	0	0	0	0	14	14	5	0	0
Npy1r	0	0	0	0	15	0	0	0	3
Naf1	1273	1041	999	1584	455	909	1340	1113	1390
Nat1	7	3	2	4	8	0	7	0	2
Nat2	213	205	234	127	30	130	168	130	206
Nat3	0	1	0	0	8	0	0	0	0
Psd3	4684	4463	4437	2946	919	1599	2688	1992	2344
Sh2d4a	4	2	0	2	34	11	13	0	5
Csgalnact1	0	10	3	8	43	35	4	7	18
1700125H03Rik	0	0	1	0	3	31	3	0	0
Ints10	1433	1409	1383	1349	515	884	1400	1005	1247
Lpl	2207	2526	2715	1612	858	1405	2363	1778	3097
Slc18a1	386	390	299	441	163	126	952	554	701
Atp6v1b2	13039	13286	11770	10580	3579	6339	12954	10058	13771
Lzts1	61	104	77	67	61	64	102	131	171
Zfp930	725	649	752	938	281	379	806	513	731
D130040H23Rik	376	273	382	241	99	227	319	187	216
Gm10033	404	268	392	249	85	104	272	280	317
Zfp868	779	832	711	863	305	544	899	822	874
Zfp964	168	113	122	215	82	83	271	222	199
Zfp869	2912	2594	2605	5292	1865	2891	5589	4685	5695
Zfp963	519	404	445	579	225	205	578	432	354
Zfp866	2376	1834	2284	2351	761	1244	2119	1654	2052
Atp13a1	5371	4210	4657	5114	1496	2780	5846	4391	5182
Gmip	796	634	726	701	270	503	796	517	549
Lpar2	509	624	638	564	233	389	497	412	487
Pbx4	496	567	576	478	195	336	350	258	375
Cilp2	10	18	14	29	128	15	52	36	21
Ndufa13	1927	2241	1734	1006	487	911	1443	1240	1561
Tssk6	63	28	21	28	34	29	50	26	45
Gatad2a	4832	5086	4559	4930	1609	2973	4696	4160	5175
Mau2	5223	4752	4944	5092	1534	2809	5285	3751	4850
Sugp1	1952	1715	1737	2123	752	1150	2053	1801	2240
Tm6sf2	97	39	89	50	55	68	132	38	67
Hapln4	3399	3187	2840	2872	1040	1612	4446	3545	4175
Ncan	1429	1604	1553	853	495	640	995	750	1248
Mir7066	0	0	0	0	1	0	0	0	0
Rfxank	507	348	420	335	181	179	514	385	507
Nr2c2ap	243	349	320	440	195	325	621	435	599
2310045N01Rik	747	653	708	710	283	408	1048	766	826
2310045n01rik-mef2b	0	0	0	0	0	0	0	0	0
Mef2b	0	0	0	4	2	0	0	0	1
Tmem161a	721	610	618	706	255	494	1004	771	920
Slc25a42	473	399	374	400	196	299	386	327	377
Armc6	300	248	233	297	147	143	375	311	306
Sugp2	2043	1410	1805	2194	800	1128	1783	1501	1662
Homer3	388	415	403	320	177	139	417	274	461
Ddx49	1183	1196	1048	1545	582	827	1608	1390	1660
Cope	3220	3583	2952	2966	1046	1569	4342	3589	4402
Cers1	0	0	0	0	0	0	0	0	0
Gdf1	0	0	0	0	0	0	0	0	0
Upf1	4961	4520	4451	5912	2161	3326	6132	4953	5975
Comp	15	9	7	23	96	33	24	0	5
Crtc1	2121	2063	1967	2055	766	1411	2496	1905	2097
Klhl26	599	681	589	563	213	310	432	485	480
Tmem59l	4237	4797	4333	2490	1080	2187	3165	2187	3359
Crlf1	64	124	126	127	105	73	66	80	76
2810428I15Rik	365	463	412	336	146	103	421	327	498
Uba52	4117	4655	4103	2932	1094	2103	4292	3275	4379
Kxd1	584	647	537	498	201	235	574	553	653
Fkbp8	4068	4047	3587	2785	991	1708	3189	2644	3407
Ell	946	875	827	1216	466	645	1031	741	881
Isyna1	920	857	913	827	309	405	1032	741	1025
Ssbp4	1349	1516	1432	1108	450	839	1090	1152	1330
Lrrc25	0	3	5	0	31	9	1	0	0
Gdf15	4	2	0	20	13	0	28	0	20
Pgpep1	929	862	894	523	307	351	840	767	883
Lsm4	1071	1136	928	679	297	479	1028	762	1294
Jund	4139	4988	4547	4856	1779	3610	4736	4567	5800
Gm3336	13	9	13	8	19	0	10	7	7
Pde4c	98	72	87	143	126	50	179	134	122
Rab3a	4229	4641	4121	3185	1133	2246	2141	1699	2306
Mpv17l2	465	559	461	420	146	226	550	365	642
Ifi30	1807	1753	1504	835	325	746	1486	1211	1533
Pik3r2	2196	2727	2374	1862	822	1136	1934	1875	1909
2010320M18Rik	193	222	212	207	84	186	241	193	261
Mast3	2018	1787	2132	1718	795	1211	1813	1353	1621
Mir7240	0	0	1	0	7	0	6	0	0
Il12rb1	3	10	4	6	89	51	10	6	5
Arrdc2	145	113	129	182	111	80	185	170	179
Kcnn1	180	169	227	196	108	100	176	184	173
Ccdc124	633	806	678	544	233	336	642	631	804
Slc5a5	104	108	139	116	101	186	129	56	119
Rpl18a	8299	8697	7501	5765	2147	4740	8577	6775	9791
Mir7067	0	0	0	0	0	0	0	0	0
Snora68	129	101	106	84	35	20	118	107	191
Map1s	1387	1570	1514	1653	500	1172	1126	835	1321
Mir1969	16	7	7	9	1	0	5	9	3
1700026F02Rik	0	0	0	5	5	0	1	0	0
Gm38415	0	0	0	0	12	0	0	0	0
Haus8	319	439	369	428	138	296	340	255	333
Myo9b	3500	2501	2806	2872	976	1339	3882	2849	3020
Use1	651	704	716	671	332	450	993	799	1041
Ocel1	173	165	142	128	91	142	193	155	211
Nr2f6	751	839	754	525	307	220	688	615	754
Ushbp1	0	1	6	0	63	9	2	0	2
Babam1	2369	2274	2217	1727	587	1173	2639	1950	2789
Ankle1	820	449	648	478	180	241	325	293	209
Abhd8	1682	2077	1851	1235	478	979	1034	867	1367
Mrpl34	671	681	505	367	145	242	442	346	546
Dda1	3186	3307	2823	2652	924	1471	2613	1920	2730
Ano8	1505	1333	1490	857	395	642	1198	1003	1233
Gtpbp3	351	306	441	454	194	237	592	609	557
Plvap	95	107	100	107	81	70	108	45	122
Bst2	7	12	19	3	25	40	53	42	79
Mvb12a	705	694	651	509	213	294	897	672	814
Tmem221	50	95	100	83	80	54	136	103	102
Nxnl1	12	6	0	6	22	18	2	7	2
Slc27a1	754	689	787	589	270	525	626	476	523
Pgls	1125	1181	1001	681	299	457	1343	890	1303
Fam129c	46	24	51	91	71	82	100	39	69
Colgalt1	2760	2594	2593	2224	692	1219	3042	2523	3038
Unc13a	12517	10626	11853	10206	3207	6535	9236	6585	7467
Mir6769b	4	0	2	0	0	0	5	0	1
Jak3	617	441	491	381	300	392	903	608	751
Insl3	0	3	7	7	10	0	6	20	18
B3gnt3	1915	1801	1713	1374	453	746	2281	1696	2187
Fcho1	560	530	571	521	227	329	401	381	438
Zfp709	199	233	199	192	105	80	224	149	228
Zfp882	652	535	600	654	193	387	894	631	720
Zfp617	797	766	752	914	296	537	903	893	954
Zfp961	864	772	724	782	244	365	853	656	854
Cyp4f18	0	1	5	0	31	52	9	0	3
Olfr372	0	0	0	0	5	0	0	0	0
Olfr373	0	0	0	0	12	23	0	0	0
Olfr374	0	2	0	0	21	0	2	0	0
Tpm4	9597	9025	8907	7870	2586	5623	7448	5511	7954
Rab8a	2868	2989	2520	2898	950	1466	2605	2349	2988
Hsh2d	17	3	2	4	35	0	11	13	0
Cib3	18	13	16	15	6	0	7	4	18
Fam32a	1113	1262	1091	866	321	506	1206	939	1314
Ap1m1	2999	3220	2753	2198	852	1657	3159	2265	3014
Klf2	37	50	52	35	44	134	94	100	72
Eps15l1	3915	3242	3395	3477	1155	1891	3265	2301	2701
Calr3	46	51	49	17	38	13	49	55	65
1700030K09Rik	395	320	399	383	145	247	520	502	451
Cherp	5494	4640	4570	5277	1615	2497	6048	4673	5501
Mir7068	0	0	0	0	0	0	0	0	0
Slc35e1	8506	8204	7889	8375	2856	5213	7840	6414	7669
Med26	671	707	547	890	342	417	858	701	804
Smim7	3413	3658	3253	2540	958	1380	3036	2763	3434
Tmem38a	827	926	693	729	299	711	866	590	788
Nwd1	14	8	10	19	96	101	16	0	5
Sin3b	2834	2552	2467	2378	826	1584	2731	2277	2898
F2rl3	0	4	12	6	40	13	8	3	11
Large	1419	1515	1399	1349	518	1118	1885	1494	1854
Mir28b	0	0	0	0	4	0	0	0	0
Isx	0	0	1	4	9	0	0	0	0
Hmgxb4	1957	1773	1919	1493	527	805	1685	1405	1723
Tom1	874	898	689	903	311	415	986	769	1250
